,SPY,AGG,GLD,VNQ,TIP
2023-01-01,0.009961775475316414,0.019794166404701306,-0.013285675738191413,0.0063296923669057086,-0.00580642569121827
2023-01-02,0.0057905216376694536,0.014570227162312613,-0.021225583434989575,0.007514908646353978,-0.013415926855328648
2023-01-03,0.009195089895467842,0.014767846067821243,-0.022915063903653672,-0.0008607279740620016,-0.018483640161011977
2023-01-04,0.017449002153725402,0.02047701794406505,-0.03199061635163918,0.0008325950802302571,-0.010269768927294087
2023-01-05,0.0014549493425116827,0.0266106198678644,-0.03791685394109765,0.00723858176616185,-0.017202360492719254
2023-01-06,-0.01589387166413351,0.011035195489032774,-0.03673600447448383,0.010535806783376669,-0.02554552674376334
2023-01-07,-0.00880794707635977,-0.004880005133656825,-0.036696802460956995,-0.0008743552142478992,-0.03136388782178493
2023-01-08,-0.0076339603631956285,-0.01278413878649635,-0.03984235790325525,0.009888572877896505,-0.03643280651701642
2023-01-09,0.00142296075745579,-0.02338120733307253,-0.03384431612410242,0.02500425908447551,-0.06044925151828932
2023-01-10,-0.005845991797248978,-0.01691048606126713,-0.035174769984532346,0.0294157178181886,-0.06578910338544752
2023-01-11,-0.004280093922519978,-0.017767258415187923,-0.022796949367934274,0.03265992625120073,-0.0617130767646955
2023-01-12,-0.007698863583744652,-0.021943320655912858,-0.026422531246130483,0.0373044476749837,-0.06522292157289813
2023-01-13,-0.004101115014780523,-0.00048931266945847,-0.01701128421181356,0.034744212353305284,-0.05251078235125869
2023-01-14,-0.007481868744996037,-0.02017055802123701,-0.026392147320987602,0.016736293143046727,-0.05532591719167178
2023-01-15,-0.00659768495310052,-0.0027061848984841833,-0.022422873583345975,0.015245287854958083,-0.046331861379836886
2023-01-16,-0.02800903804317937,0.00034996068260147607,-0.014014221644476308,0.0011594253971596667,-0.034194320947767594
2023-01-17,-0.02392407396823523,-0.0031029184564065363,-0.006986402983413459,0.024566353975203625,-0.03167565839718264
2023-01-18,-0.02074186810523187,-0.006996527451808977,-0.014784846678061379,0.03356971214064608,-0.03953649665627132
2023-01-19,-0.019326205733037942,-0.011073101919460144,-0.00929504842059746,0.03760633319351556,-0.028461097213692325
2023-01-20,-0.023726369721585414,-0.013071851272393856,-0.018382685578420536,0.033863400592754445,-0.023988092283243802
2023-01-21,-0.015456483555131895,-0.021593504514170112,-0.008986626377363935,0.04811977918080396,-0.019153743251006793
2023-01-22,0.004011474570448762,-0.028631396505205842,-0.020733173410478103,0.03103257669176117,-0.003493300136114961
2023-01-23,0.011255131133989339,-0.028487243214310395,-0.017233487147279902,0.0204776862187774,0.021664219660053302
2023-01-24,0.013247342953741614,-0.026693295268261467,-0.009275820908292983,0.025987778536144535,0.024603059902844615
2023-01-25,0.006042598399288495,-0.02127861169690151,0.010244424056457355,0.04014197899769431,0.04123492616923859
2023-01-26,0.001630441634976644,-0.03047465989948732,0.009686554855460874,0.041399228120581257,0.05287684135394807
2023-01-27,-0.01459420466217155,-0.014479156704881181,0.00880647586967098,0.03783041742110706,0.043455797601346394
2023-01-28,-0.030442771380829244,-0.005547450865262036,0.01023965554155502,0.025630808423696517,0.031205009880710233
2023-01-29,-0.033100618373730524,0.011842764387631892,0.008343742027918972,0.011299378892515454,0.02944757923985079
2023-01-30,-0.03512785407120723,-0.014426102041783824,0.00850079336274085,0.009690033590428675,0.037109642887984975
2023-01-31,-0.015938293121753776,-0.002460451746306252,0.006511906457192546,-0.0006752254969880286,0.06354324092048358
2023-02-01,-0.014646108781608894,-0.0016211588271767899,0.006970655586092513,0.002005622110690521,0.06279963680124416
2023-02-02,-0.019682728850411255,-0.006389748239580711,0.007343122883932529,-0.002728625600647129,0.05637117897447252
2023-02-03,-0.017918426573492286,-0.008239520413789263,0.023083052769759416,-0.02853832368457725,0.06798624749369714
2023-02-04,-0.004757574648515997,-0.02827342273787076,0.02035617682895593,-0.031552732344535164,0.05461113054651892
2023-02-05,-0.01183574152442475,-0.03867918119252905,0.03857888126319216,-0.021495948413060552,0.0680266814964605
